Date,Time_Start,Time_End,Location,Elephant_ID,Behavior,Duration,Food_Type,Heart_Rate,Weather_Condition,Is_Sleeping
03-01-2024,10:24,12:58,In lake,E016,Angry,1.8,No,125,Windy,No
03-01-2024,02:02,14:39,Forest Edge,E022,Angry,1.2,No,121,Windy,No
03-01-2024,07:14,08:20,In lake,E019,Sleeping,5.9,No,111,Rain,Yes
03-01-2024,10:23,15:03,Forest Edge,E028,Sleeping,2.2,No,122,Clear,Yes
03-01-2024,12:05,18:11,Forest Area,E020,Sleeping,5.1,No,110,Rain,Yes
03-01-2024,16:20,21:34,Forest Edge,E027,Sleeping,3.4,No,100,Cloudy,Yes
03-01-2024,20:15,23:24,Forest Edge,E009,Sleeping,5.6,No,100,Rain,Yes
03-01-2024,02:47,07:28,Forest Edge,E017,Sleeping,3.8,No,122,Rain,Yes
03-01-2024,04:09,09:30,Forest Edge,E014,Sleeping,4.6,No,95,Clear,Yes
03-01-2024,00:11,06:20,near lake,E009,Eating,16.6,Yes,100,Cloudy,No
03-01-2024,12:09,22:14,near lake,E010,Sleeping,2.8,No,127,Cloudy,Yes
03-01-2024,01:42,18:40,In lake,E005,Sleeping,5.6,No,90,Windy,Yes
03-01-2024,05:28,19:57,Grassland,E014,Eating,17.7,Yes,101,Windy,No
03-01-2024,04:53,08:39,near lake,E028,Sleeping,3.1,No,95,Windy,Yes
03-01-2024,15:24,16:59,In lake,E026,Angry,1.7,No,142,Clear,No
03-01-2024,00:12,14:57,Forest Edge,E006,Eating,17,Yes,84,Cloudy,No
03-01-2024,04:43,14:58,In lake,E001,Angry,1.9,No,131,Cloudy,No
03-01-2024,06:23,10:06,In lake,E016,Sleeping,5.7,No,110,Clear,Yes
03-01-2024,03:55,10:25,Forest Edge,E004,Eating,15.8,Yes,94,Rain,No
03-01-2024,06:10,07:46,near lake,E008,Eating,17.6,Yes,99,Clear,No
03-01-2024,16:43,23:55,Forest Edge,E003,Sleeping,4,No,120,Rain,Yes
03-01-2024,09:14,15:01,Grassland,E013,Eating,14.3,Yes,95,Windy,No
03-01-2024,04:44,07:45,Forest Edge,E026,Eating,14.4,Yes,110,Clear,No
03-01-2024,10:12,15:10,Forest Edge,E024,Eating,15.5,Yes,110,Windy,No
03-01-2024,08:17,17:23,Grassland,E002,Sleeping,4.7,No,125,Rain,Yes
03-01-2024,08:26,10:54,Grassland,E025,Eating,16.9,Yes,105,Windy,No
03-01-2024,04:28,09:27,In lake,E012,Eating,14.2,Yes,95,Windy,No
03-01-2024,02:15,06:01,Grassland,E020,Angry,1,No,136,Windy,No
03-01-2024,04:39,14:48,Forest Edge,E018,Eating,17.1,Yes,101,Rain,No
03-01-2024,12:36,22:48,Grassland,E024,Sleeping,2.4,No,99,Rain,Yes
03-01-2024,10:04,10:53,Grassland,E017,Sleeping,3.2,No,102,Cloudy,Yes
03-01-2024,08:38,21:50,near lake,E003,Sleeping,5.7,No,116,Rain,Yes
03-01-2024,13:19,21:52,near lake,E004,Sleeping,3.6,No,114,Clear,Yes
03-01-2024,18:33,22:52,Forest Area,E012,Eating,15.7,Yes,92,Clear,No
04-01-2024,09:55,14:37,In lake,E013,Eating,16.6,Yes,102,Clear,No
04-01-2024,00:06,03:26,near lake,E003,Angry,1.1,No,132,Windy,No
04-01-2024,10:41,19:42,Grassland,E018,Angry,1,No,140,Cloudy,No
04-01-2024,14:49,19:10,near lake,E016,Eating,15.1,Yes,103,Cloudy,No
04-01-2024,05:01,15:36,near lake,E021,Angry,1.2,No,130,Windy,No
04-01-2024,09:14,16:42,Forest Area,E025,Angry,1.7,No,123,Rain,No
04-01-2024,05:22,06:47,In lake,E029,Angry,1.2,No,128,Cloudy,No
04-01-2024,03:54,06:44,In lake,E015,Eating,17.6,Yes,85,Clear,No
04-01-2024,07:08,13:51,Forest Area,E020,Angry,1.1,No,127,Windy,No
04-01-2024,05:04,23:43,In lake,E023,Eating,15.2,Yes,96,Rain,No
04-01-2024,16:40,20:12,Forest Edge,E016,Eating,15.4,Yes,106,Clear,No
04-01-2024,00:46,12:16,In lake,E020,Eating,17,Yes,99,Clear,No
04-01-2024,01:58,16:56,Grassland,E018,Angry,1.8,No,135,Cloudy,No
04-01-2024,16:47,20:42,Forest Edge,E025,Angry,1.7,No,146,Rain,No
04-01-2024,05:24,19:36,Forest Edge,E021,Eating,16.9,Yes,95,Windy,No
04-01-2024,01:17,05:30,Forest Area,E016,Eating,14.3,Yes,98,Clear,No
04-01-2024,19:59,20:20,near lake,E029,Angry,1.2,No,127,Rain,No
04-01-2024,05:59,08:13,Grassland,E004,Angry,1.6,No,122,Cloudy,No
04-01-2024,15:03,21:35,Grassland,E024,Eating,17,Yes,102,Clear,No
04-01-2024,01:33,14:00,Forest Area,E029,Eating,14.6,Yes,81,Cloudy,No
04-01-2024,10:28,19:54,In lake,E006,Eating,14.5,Yes,103,Rain,No
04-01-2024,10:48,11:19,near lake,E014,Angry,1.2,No,136,Clear,No
04-01-2024,10:20,11:50,In lake,E021,Angry,1.5,No,120,Clear,No
04-01-2024,12:02,16:40,Grassland,E005,Angry,1,No,120,Windy,No
04-01-2024,01:17,14:23,near lake,E007,Eating,17.6,Yes,99,Clear,No
04-01-2024,03:46,14:18,In lake,E027,Angry,1.9,No,123,Cloudy,No
04-01-2024,01:05,23:48,Forest Area,E015,Angry,1.1,No,137,Cloudy,No
04-01-2024,18:35,20:46,Forest Area,E002,Eating,16.9,Yes,99,Clear,No
04-01-2024,04:30,07:05,In lake,E005,Angry,1.7,No,127,Cloudy,No
04-01-2024,19:48,19:54,In lake,E002,Angry,1.3,No,143,Cloudy,No
04-01-2024,00:17,23:54,Forest Edge,E028,Eating,15.4,Yes,96,Cloudy,No
04-01-2024,02:14,07:55,In lake,E017,Sleeping,4.2,No,122,Rain,Yes
04-01-2024,03:11,10:29,Grassland,E009,Eating,17.8,Yes,89,Rain,No
04-01-2024,19:49,20:02,Grassland,E027,Eating,15.9,Yes,98,Clear,No
04-01-2024,12:30,21:52,near lake,E020,Angry,1.3,No,124,Clear,No
04-01-2024,09:50,17:45,Forest Edge,E002,Eating,17.1,Yes,91,Clear,No
04-01-2024,02:16,07:26,near lake,E025,Angry,1.2,No,145,Cloudy,No
04-01-2024,15:37,21:28,Grassland,E003,Eating,14,Yes,88,Windy,No
04-01-2024,07:11,10:59,Forest Edge,E016,Angry,1,No,147,Rain,No
04-01-2024,07:32,22:52,Forest Edge,E004,Angry,1.6,No,142,Rain,No
04-01-2024,12:21,14:59,Grassland,E015,Eating,16.9,Yes,102,Cloudy,No
04-01-2024,07:05,12:18,In lake,E028,Angry,2,No,138,Windy,No
04-01-2024,04:54,21:21,Forest Edge,E029,Eating,16.6,Yes,101,Clear,No
04-01-2024,06:10,09:03,near lake,E007,Eating,15,Yes,109,Windy,No
04-01-2024,07:40,22:34,Grassland,E017,Angry,1.3,No,126,Windy,No
04-01-2024,08:17,11:09,Grassland,E005,Sleeping,4.7,No,101,Cloudy,Yes
04-01-2024,16:09,16:22,Forest Area,E029,Sleeping,4.7,No,114,Windy,Yes
04-01-2024,03:27,14:21,Forest Area,E006,Eating,17.1,Yes,81,Rain,No
04-01-2024,20:49,21:52,Forest Edge,E012,Angry,1.5,No,134,Windy,No
04-01-2024,01:17,06:34,near lake,E009,Sleeping,2.6,No,117,Clear,Yes
04-01-2024,12:35,21:19,Forest Edge,E009,Sleeping,3.1,No,125,Windy,Yes
04-01-2024,13:25,20:26,In lake,E005,Sleeping,3.8,No,118,Rain,Yes
05-01-2024,06:25,20:20,Forest Area,E007,Sleeping,2.3,No,127,Windy,Yes
05-01-2024,20:51,23:01,In lake,E001,Angry,1.4,No,132,Windy,No
05-01-2024,02:19,05:10,Forest Edge,E011,Eating,17,Yes,105,Windy,No
05-01-2024,14:15,18:53,Forest Area,E023,Angry,1,No,147,Cloudy,No
05-01-2024,06:19,13:28,Forest Area,E002,Eating,16.3,Yes,90,Cloudy,No
05-01-2024,09:39,16:09,Grassland,E029,Eating,14.3,Yes,93,Rain,No
05-01-2024,05:59,17:19,In lake,E003,Angry,1.9,No,139,Clear,No
05-01-2024,02:18,12:26,In lake,E019,Angry,1.8,No,127,Windy,No
05-01-2024,17:45,22:05,near lake,E022,Angry,1.7,No,120,Clear,No
05-01-2024,18:00,21:14,In lake,E023,Eating,15,Yes,81,Cloudy,No
05-01-2024,04:47,15:30,Grassland,E026,Sleeping,4.6,No,99,Clear,Yes
05-01-2024,01:17,12:26,near lake,E006,Angry,1.5,No,132,Cloudy,No
05-01-2024,08:54,23:42,In lake,E004,Angry,1.1,No,140,Cloudy,No
05-01-2024,08:11,17:04,Forest Edge,E023,Eating,15.7,Yes,80,Cloudy,No
05-01-2024,08:23,18:32,Grassland,E003,Eating,16.3,Yes,85,Cloudy,No
05-01-2024,00:59,05:39,near lake,E025,Angry,1.9,No,148,Cloudy,No
05-01-2024,09:39,22:50,In lake,E014,Angry,1.4,No,131,Cloudy,No
05-01-2024,05:27,07:05,Forest Area,E020,Angry,1.8,No,136,Clear,No
05-01-2024,18:01,19:05,Forest Area,E002,Sleeping,3.7,No,90,Rain,Yes
05-01-2024,04:58,11:44,Forest Area,E009,Sleeping,4.9,No,112,Rain,Yes
05-01-2024,10:44,16:12,Forest Area,E029,Eating,16.9,Yes,98,Cloudy,No
05-01-2024,09:43,11:35,Forest Edge,E020,Eating,15.1,Yes,108,Windy,No
05-01-2024,01:27,02:20,Forest Area,E003,Eating,17.2,Yes,82,Windy,No
05-01-2024,03:03,18:21,Forest Area,E027,Eating,15.4,Yes,110,Clear,No
05-01-2024,18:53,22:03,Forest Area,E023,Sleeping,3.8,No,90,Cloudy,Yes
05-01-2024,10:59,20:07,In lake,E017,Eating,14.4,Yes,93,Windy,No
05-01-2024,01:23,18:25,Forest Edge,E003,Sleeping,3.5,No,120,Clear,Yes
05-01-2024,08:53,20:23,Forest Edge,E016,Angry,1.1,No,127,Clear,No
05-01-2024,00:17,08:38,Forest Edge,E016,Angry,1.4,No,143,Clear,No
05-01-2024,07:14,16:12,Grassland,E023,Angry,1.8,No,144,Clear,No
05-01-2024,08:58,09:44,Forest Edge,E018,Angry,1.9,No,148,Rain,No
05-01-2024,07:36,11:22,In lake,E026,Eating,17.4,Yes,100,Rain,No
05-01-2024,08:04,13:00,In lake,E009,Sleeping,3.9,No,124,Clear,Yes
05-01-2024,07:00,21:02,near lake,E022,Sleeping,5.6,No,124,Clear,Yes
05-01-2024,12:05,18:39,In lake,E018,Sleeping,3.5,No,96,Rain,Yes
05-01-2024,17:49,23:22,In lake,E004,Sleeping,4.9,No,124,Rain,Yes
05-01-2024,17:50,20:19,In lake,E005,Eating,14.2,Yes,83,Cloudy,No
05-01-2024,02:33,15:57,Forest Area,E016,Angry,1.6,No,136,Windy,No
05-01-2024,12:09,18:34,near lake,E020,Angry,1.7,No,125,Windy,No
05-01-2024,10:44,15:05,near lake,E018,Sleeping,4.9,No,123,Cloudy,Yes
05-01-2024,00:09,05:56,Forest Edge,E023,Eating,15.7,Yes,84,Clear,No
06-01-2024,03:00,17:30,In lake,E002,Eating,16.1,Yes,107,Windy,No
06-01-2024,17:52,21:52,Grassland,E003,Angry,1.3,No,144,Rain,No
06-01-2024,08:11,15:40,near lake,E021,Angry,1.7,No,125,Windy,No
06-01-2024,18:58,23:59,Forest Edge,E005,Sleeping,3.7,No,106,Cloudy,Yes
06-01-2024,12:59,13:52,In lake,E021,Sleeping,4.2,No,108,Cloudy,Yes
06-01-2024,05:06,23:15,In lake,E011,Eating,15.2,Yes,105,Rain,No
06-01-2024,04:13,09:44,Forest Area,E029,Sleeping,5.9,No,111,Rain,Yes
06-01-2024,01:17,16:55,In lake,E020,Eating,15.9,Yes,99,Clear,No
06-01-2024,12:13,13:05,Grassland,E015,Eating,15.2,Yes,88,Clear,No
06-01-2024,16:02,18:45,near lake,E003,Angry,1.5,No,142,Windy,No
06-01-2024,15:29,18:14,Forest Edge,E028,Eating,16.9,Yes,82,Windy,No
06-01-2024,00:31,16:03,Forest Area,E008,Eating,17.6,Yes,109,Clear,No
06-01-2024,03:31,17:07,In lake,E010,Sleeping,3.8,No,92,Clear,Yes
06-01-2024,16:00,23:57,near lake,E027,Angry,1.2,No,123,Rain,No
06-01-2024,06:15,08:32,Forest Edge,E003,Sleeping,2.3,No,118,Cloudy,Yes
06-01-2024,10:39,11:31,Forest Area,E005,Eating,14.1,Yes,96,Cloudy,No
06-01-2024,03:39,23:19,Forest Area,E025,Angry,1.8,No,149,Windy,No
06-01-2024,01:15,05:43,In lake,E026,Sleeping,5.2,No,105,Rain,Yes
06-01-2024,12:22,22:07,Forest Edge,E003,Eating,17.2,Yes,87,Cloudy,No
06-01-2024,05:13,16:10,Forest Area,E029,Sleeping,2.3,No,118,Windy,Yes
06-01-2024,00:30,21:09,In lake,E017,Eating,14.5,Yes,104,Clear,No
06-01-2024,02:56,15:29,Forest Area,E011,Sleeping,3.5,No,108,Cloudy,Yes
06-01-2024,05:33,15:07,near lake,E012,Sleeping,3.3,No,107,Rain,Yes
06-01-2024,04:30,20:35,Forest Edge,E001,Angry,1,No,142,Windy,No
06-01-2024,08:22,09:04,near lake,E009,Sleeping,4.8,No,106,Windy,Yes
06-01-2024,12:47,17:36,Forest Edge,E003,Eating,15.4,Yes,82,Cloudy,No
06-01-2024,12:31,18:47,Forest Area,E001,Sleeping,5.9,No,125,Windy,Yes
06-01-2024,16:21,17:32,Forest Area,E009,Angry,1.1,No,140,Windy,No
06-01-2024,04:49,10:28,In lake,E002,Eating,15.9,Yes,80,Windy,No
06-01-2024,16:47,17:38,Forest Edge,E024,Sleeping,4.8,No,91,Cloudy,Yes
06-01-2024,11:40,23:39,near lake,E008,Angry,1.5,No,139,Cloudy,No
06-01-2024,13:01,21:07,Forest Edge,E015,Eating,16.8,Yes,97,Rain,No
06-01-2024,07:06,08:18,Forest Area,E012,Sleeping,5.6,No,113,Rain,Yes
06-01-2024,03:39,14:21,Grassland,E009,Angry,1.3,No,126,Cloudy,No
06-01-2024,10:54,14:33,Forest Edge,E016,Eating,17.6,Yes,93,Windy,No
06-01-2024,04:27,14:19,Forest Edge,E016,Angry,1.2,No,132,Cloudy,No
06-01-2024,04:53,22:08,Forest Area,E026,Sleeping,4.1,No,127,Rain,Yes
06-01-2024,17:24,17:28,In lake,E008,Eating,17.3,Yes,89,Rain,No
06-01-2024,06:54,23:51,In lake,E017,Sleeping,4.4,No,97,Rain,Yes
06-01-2024,00:51,07:28,In lake,E025,Angry,1.6,No,144,Rain,No
06-01-2024,00:36,15:53,near lake,E004,Eating,14.5,Yes,105,Rain,No
06-01-2024,00:06,21:57,Forest Area,E018,Eating,14.3,Yes,108,Rain,No
06-01-2024,09:06,15:51,near lake,E024,Eating,16.2,Yes,89,Clear,No
07-01-2024,09:44,18:14,Forest Area,E023,Sleeping,5.6,No,118,Rain,Yes
07-01-2024,05:28,09:33,In lake,E012,Angry,1.1,No,134,Rain,No
07-01-2024,17:40,23:45,Grassland,E013,Sleeping,4.4,No,124,Rain,Yes
07-01-2024,03:49,09:01,Forest Area,E024,Angry,1,No,142,Cloudy,No
07-01-2024,00:13,12:16,Forest Edge,E007,Angry,1.5,No,120,Clear,No
07-01-2024,00:17,11:37,Forest Edge,E012,Eating,14.1,Yes,80,Rain,No
07-01-2024,02:09,16:10,Forest Edge,E019,Angry,1.4,No,150,Clear,No
07-01-2024,02:47,19:01,Forest Edge,E002,Eating,17.3,Yes,95,Cloudy,No
07-01-2024,08:39,18:58,In lake,E018,Sleeping,6,No,113,Windy,Yes
07-01-2024,10:06,23:27,near lake,E015,Sleeping,3,No,92,Clear,Yes
07-01-2024,03:56,15:53,In lake,E029,Sleeping,2.8,No,105,Rain,Yes
07-01-2024,17:08,17:25,Grassland,E024,Sleeping,4.4,No,99,Clear,Yes
07-01-2024,03:00,03:23,In lake,E001,Eating,17.1,Yes,96,Clear,No
07-01-2024,14:21,17:46,Forest Edge,E005,Eating,17.7,Yes,86,Rain,No
07-01-2024,12:39,18:49,In lake,E002,Angry,1.1,No,121,Clear,No
07-01-2024,06:56,22:18,Grassland,E006,Sleeping,4.2,No,104,Cloudy,Yes
07-01-2024,06:20,23:08,Forest Edge,E002,Angry,1.1,No,133,Cloudy,No
07-01-2024,09:11,16:16,Grassland,E027,Sleeping,4.3,No,94,Rain,Yes
07-01-2024,05:50,11:24,In lake,E001,Angry,1.4,No,129,Rain,No
07-01-2024,01:58,19:39,Grassland,E028,Eating,16.2,Yes,85,Windy,No
07-01-2024,05:59,11:13,In lake,E021,Sleeping,3.8,No,119,Clear,Yes
07-01-2024,08:04,08:59,In lake,E024,Eating,16.2,Yes,92,Cloudy,No
07-01-2024,00:59,22:12,Forest Area,E007,Angry,1.6,No,132,Windy,No
07-01-2024,18:32,23:55,Grassland,E012,Sleeping,4.3,No,105,Windy,Yes
07-01-2024,04:59,20:15,Grassland,E015,Angry,1,No,134,Clear,No
07-01-2024,04:05,05:15,In lake,E022,Sleeping,5.9,No,104,Clear,Yes
07-01-2024,07:30,15:52,Grassland,E009,Eating,15,Yes,93,Cloudy,No
07-01-2024,03:40,21:11,near lake,E017,Sleeping,4.1,No,128,Windy,Yes
07-01-2024,07:57,14:26,near lake,E017,Eating,16.6,Yes,91,Cloudy,No
07-01-2024,03:53,22:00,In lake,E013,Eating,16,Yes,106,Cloudy,No
07-01-2024,05:41,16:24,In lake,E029,Angry,1.1,No,145,Rain,No
07-01-2024,22:46,23:02,In lake,E022,Sleeping,5.9,No,91,Cloudy,Yes
07-01-2024,11:51,17:30,In lake,E005,Angry,1.7,No,140,Cloudy,No
07-01-2024,07:04,17:59,Forest Edge,E001,Sleeping,3.5,No,116,Windy,Yes
07-01-2024,19:51,22:46,near lake,E001,Sleeping,3.4,No,113,Cloudy,Yes
07-01-2024,06:11,20:13,Forest Edge,E019,Sleeping,4.4,No,118,Clear,Yes
07-01-2024,09:13,22:22,Forest Area,E026,Eating,15.6,Yes,107,Clear,No
07-01-2024,01:53,20:04,Forest Edge,E012,Eating,14.5,Yes,83,Rain,No
08-01-2024,11:30,18:47,near lake,E002,Sleeping,2.3,No,112,Clear,Yes
08-01-2024,00:01,21:41,near lake,E018,Eating,14.4,Yes,106,Cloudy,No
08-01-2024,12:06,23:40,In lake,E011,Angry,1.4,No,150,Rain,No
08-01-2024,00:29,19:10,In lake,E006,Sleeping,4.4,No,124,Clear,Yes
08-01-2024,00:05,12:41,Grassland,E021,Angry,1.9,No,124,Rain,No
08-01-2024,05:20,16:52,Forest Area,E024,Eating,16.2,Yes,94,Cloudy,No
08-01-2024,11:49,13:36,Forest Area,E021,Sleeping,4.1,No,119,Clear,Yes
08-01-2024,01:50,23:44,Grassland,E029,Sleeping,3,No,118,Clear,Yes
08-01-2024,09:50,15:13,Forest Edge,E017,Angry,1.4,No,137,Windy,No
08-01-2024,12:54,20:53,Forest Area,E021,Eating,15.3,Yes,99,Windy,No
08-01-2024,06:26,11:50,Forest Area,E001,Eating,14.1,Yes,84,Windy,No
08-01-2024,06:14,23:34,In lake,E005,Angry,1.3,No,145,Cloudy,No
08-01-2024,09:36,14:02,In lake,E001,Sleeping,4.6,No,91,Cloudy,Yes
08-01-2024,00:09,20:11,Forest Area,E011,Sleeping,4.1,No,101,Rain,Yes
08-01-2024,03:18,09:17,In lake,E012,Sleeping,2.4,No,106,Windy,Yes
08-01-2024,16:24,22:37,Grassland,E008,Eating,17.3,Yes,97,Rain,No
